Preprocessing executable 'hemporio' for hemporio-0.1.0.0...
Running hemporio...
"giorno","2016-01-15"
"utenti","230"
"pasta","105","pz"
"riso","30","kg"
"latte","69","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","108","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2006-01-22"
"utenti","230"
"pasta","105","pz"
"riso","30","kg"
"latte","69","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","108","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-01-29"
"utenti","230"
"pasta","105","pz"
"riso","30","kg"
"latte","69","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","108","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-02-05"
"utenti","230"
"pasta","105","pz"
"riso","30","kg"
"latte","69","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","108","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-02-12"
"utenti","230"
"pasta","105","pz"
"riso","29","kg"
"latte","69","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","75","pz"
"biscotti","0","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","108","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","1050","pz"
"giorno","2016-02-19"
"utenti","230"
"pasta","105","pz"
"riso","27","kg"
"latte","69","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","75","pz"
"biscotti","0","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","108","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","1050","pz"
"giorno","2016-02-26"
"utenti","230"
"pasta","105","pz"
"riso","27","kg"
"latte","69","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","75","pz"
"biscotti","0","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","108","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","1050","pz"
"giorno","2016-03-04"
"utenti","230"
"pasta","105","pz"
"riso","27","kg"
"latte","69","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","75","pz"
"biscotti","0","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","108","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","1050","pz"
"giorno","2016-03-11"
"utenti","220"
"pasta","0","pz"
"riso","60","kg"
"latte","180","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","36","pz"
"biscotti","112","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","192","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","34","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-03-18"
"utenti","220"
"pasta","0","pz"
"riso","60","kg"
"latte","180","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","36","pz"
"biscotti","112","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","192","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","33","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-03-25"
"utenti","220"
"pasta","0","pz"
"riso","60","kg"
"latte","180","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","36","pz"
"biscotti","112","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","192","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","33","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-04-08"
"utenti","220"
"pasta","84","pz"
"riso","40","kg"
"latte","84","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","66","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","108","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","20","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2006-04-15"
"utenti","220"
"pasta","82","pz"
"riso","40","kg"
"latte","84","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","66","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","108","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","20","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-04-22"
"utenti","220"
"pasta","82","pz"
"riso","40","kg"
"latte","84","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","66","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","108","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","20","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-04-29"
"utenti","220"
"pasta","82","pz"
"riso","40","kg"
"latte","84","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","66","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","108","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","20","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-05-06"
"utenti","210"
"pasta","280","pz"
"riso","70","kg"
"latte","144","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","36","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","192","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","44","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-05-20"
"utenti","210"
"pasta","280","pz"
"riso","70","kg"
"latte","144","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","36","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","192","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","43","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-05-27"
"utenti","210"
"pasta","280","pz"
"riso","70","kg"
"latte","144","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","36","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","0","pz"
"legumi in scatola","192","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","43","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-06-03"
"utenti","210"
"pasta","174","pz"
"riso","63","kg"
"latte","108","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","24","pz"
"succo di frutta","0","pz"
"olio ","42","lt"
"pomodori in scatola","72","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","24","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-06-10"
"utenti","210"
"pasta","172","pz"
"riso","63","kg"
"latte","108","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","22","pz"
"succo di frutta","0","pz"
"olio ","42","lt"
"pomodori in scatola","72","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","22","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-06-17"
"utenti","210"
"pasta","172","pz"
"riso","63","kg"
"latte","108","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","22","pz"
"succo di frutta","0","pz"
"olio ","42","lt"
"pomodori in scatola","72","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","22","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-06-24"
"utenti","210"
"pasta","172","pz"
"riso","63","kg"
"latte","108","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","22","pz"
"succo di frutta","0","pz"
"olio ","42","lt"
"pomodori in scatola","72","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","22","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-07-08"
"utenti","200"
"pasta","330","pz"
"riso","0","kg"
"latte","148","lt"
"farina","0","kg"
"formaggi","86","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","12","pz"
"succo di frutta","0","pz"
"olio ","32","lt"
"pomodori in scatola","96","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-07-15"
"utenti","200"
"pasta","330","pz"
"riso","0","kg"
"latte","148","lt"
"farina","0","kg"
"formaggi","85","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","12","pz"
"succo di frutta","0","pz"
"olio ","32","lt"
"pomodori in scatola","96","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-07-22"
"utenti","200"
"pasta","330","pz"
"riso","0","kg"
"latte","148","lt"
"farina","0","kg"
"formaggi","85","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","12","pz"
"succo di frutta","0","pz"
"olio ","32","lt"
"pomodori in scatola","96","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-07-29"
"utenti","200"
"pasta","204","pz"
"riso","0","kg"
"latte","63","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","9","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","64","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-08-05"
"utenti","200"
"pasta","202","pz"
"riso","0","kg"
"latte","63","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","9","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","64","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-08-12"
"utenti","200"
"pasta","202","pz"
"riso","0","kg"
"latte","63","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","9","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","64","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-08-19"
"utenti","200"
"pasta","202","pz"
"riso","0","kg"
"latte","63","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","9","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","64","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-09-09"
"utenti","190"
"pasta","0","pz"
"riso","0","kg"
"latte","33","lt"
"farina","0","kg"
"formaggi","69","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","56","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-09-16"
"utenti","190"
"pasta","0","pz"
"riso","0","kg"
"latte","33","lt"
"farina","0","kg"
"formaggi","67","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","56","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-09-23"
"utenti","190"
"pasta","0","pz"
"riso","0","kg"
"latte","33","lt"
"farina","0","kg"
"formaggi","67","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","56","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-09-30"
"utenti","190"
"pasta","0","pz"
"riso","0","kg"
"latte","33","lt"
"farina","0","kg"
"formaggi","67","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","0","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","56","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-10-07"
"utenti","190"
"pasta","0","pz"
"riso","0","kg"
"latte","36","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","16","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","48","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-10-14"
"utenti","190"
"pasta","0","pz"
"riso","0","kg"
"latte","33","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","14","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","44","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-10-21"
"utenti","190"
"pasta","0","pz"
"riso","0","kg"
"latte","33","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","14","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","44","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-10-28"
"utenti","190"
"pasta","0","pz"
"riso","0","kg"
"latte","33","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","14","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","44","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-11-04"
"utenti","190"
"pasta","0","pz"
"riso","0","kg"
"latte","33","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","14","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","44","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
"zucchero","0","kg"
"minestrone e verdure","0","pz"
"confettura monodose","0","pz"
"giorno","2016-11-11"
"utenti","180"
"pasta","0","pz"
"riso","0","kg"
"latte","180","lt"
"farina","0","kg"
"formaggi","0","pz"
"confettura vasetto","0","pz"
"biscotti","0","pz"
"biscotti infanzia","54","pz"
"succo di frutta","0","pz"
"olio ","0","lt"
"pomodori in scatola","144","pz"
"legumi in scatola","0","pz"
"tonno in scatola","0","pz"
"carne in scatola","0","pz"
